horizon,gauss_window,gauss_std,coord_mode,orb_multiplier,include_phases,max_depth,learning_rate,weight_power,sideways_penalty,n_estimators,subsample,colsample_bytree,bal_acc,f1_macro,mcc,recall_down,recall_up,recall_min,recall_gap,up_down_min,up_down_gap
1,101,100.0,both,0.15,True,9,0.03,2.0,1.0,500,0.8,0.8,0.29624195308715473,0.22157251027487054,-0.04840238571184659,0.05527638190954774,0.42857142857142855,0.05527638190954774,0.3732950466618808,0.05527638190954774,0.3732950466618808
1,101,100.0,both,0.15,True,9,0.05,2.0,1.0,500,0.8,0.8,0.2864858555261791,0.21505974026722327,-0.034367218424685875,0.05527638190954774,0.42857142857142855,0.05527638190954774,0.3732950466618808,0.05527638190954774,0.3732950466618808
1,101,100.0,geo,0.15,True,9,0.05,2.0,1.0,500,0.8,0.8,0.35155968993799264,0.22936911167207671,0.005029685483928855,0.05527638190954774,0.6530612244897959,0.05527638190954774,0.5977848425802481,0.05527638190954774,0.5977848425802481
1,201,50.0,geo,0.15,True,3,0.03,2.0,1.0,500,0.8,0.8,0.3620134180905776,0.2497528696925868,0.025021526247422314,0.04950495049504951,0.5833333333333334,0.04950495049504951,0.5338283828382838,0.04950495049504951,0.5338283828382838
1,101,100.0,both,0.15,True,5,0.05,2.0,1.0,500,0.8,0.8,0.35866256785837275,0.27341572715133516,0.039027669165736266,0.04522613065326633,0.3673469387755102,0.04522613065326633,0.32212080812224386,0.04522613065326633,0.32212080812224386
1,201,100.0,geo,0.15,True,9,0.05,2.0,1.0,500,0.8,0.8,0.3512334404961532,0.12226242714654896,0.01727386820573432,0.043689320388349516,0.9555555555555556,0.043689320388349516,0.9118662351672061,0.043689320388349516,0.9118662351672061
1,101,50.0,geo,0.15,True,5,0.03,2.0,0.3,500,0.8,0.8,0.3149569571275262,0.2960993583720821,-0.03934082993829037,0.24378109452736318,0.0425531914893617,0.0425531914893617,0.20122790303800148,0.0425531914893617,0.20122790303800148
1,101,50.0,geo,0.15,True,5,0.03,2.0,0.5,500,0.8,0.8,0.32665456664093473,0.3230522106342369,0.012005930535206127,0.5422885572139303,0.0425531914893617,0.0425531914893617,0.4997353657245686,0.0425531914893617,0.4997353657245686
1,101,50.0,geo,0.15,True,5,0.05,2.0,0.5,500,0.8,0.8,0.3225207641088796,0.30463128231617814,-0.013405975128676577,0.6567164179104478,0.0425531914893617,0.0425531914893617,0.6141632264210861,0.0425531914893617,0.6141632264210861
1,101,100.0,geo,0.15,True,3,0.03,2.0,1.0,500,0.8,0.8,0.3691328719255811,0.26183513332161723,0.03721201403775342,0.04020100502512563,0.5306122448979592,0.04020100502512563,0.4904112398728336,0.04020100502512563,0.4904112398728336
